City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
224,Altay,CN,2022-01-30 17:40:12,47.8667,88.1167,3.61,54,38,7.47
225,Mendota,US,2022-01-30 17:40:12,36.7536,-120.3816,49.69,55,0,0.6
226,Baykit,RU,2022-01-30 17:40:12,61.67,96.37,-11.31,100,94,1.14
227,Ilulissat,GL,2022-01-30 17:41:13,69.2167,-51.1,8.62,66,75,17.27
228,Severomuysk,RU,2022-01-30 17:41:13,56.1481,113.4267,-22.11,97,62,3.27
229,Conde,BR,2022-01-30 17:41:14,-7.2597,-34.9075,87.26,62,40,13.8
230,Bandrele,YT,2022-01-30 17:41:14,-12.9067,45.1914,82.15,78,0,5.75
231,Matara,LK,2022-01-30 17:41:14,5.9485,80.5353,76.95,91,34,7.27
232,Vila,PT,2022-01-30 17:41:14,42.0304,-8.1588,50.88,65,0,3.33
233,Kahului,US,2022-01-30 17:41:15,20.8947,-156.47,75.85,76,20,3.44
234,Makakilo City,US,2022-01-30 17:41:15,21.3469,-158.0858,72.28,73,0,5.75
235,Douglas,US,2022-01-30 17:41:15,41.3,-96.167,33.51,63,0,1.01
236,Petropavlovsk-Kamchatskiy,RU,2022-01-30 17:41:16,53.0452,158.6483,12.79,92,0,8.95
237,Elizabeth City,US,2022-01-30 17:41:16,36.2946,-76.2511,34.02,42,0,6.91
238,Sorland,NO,2022-01-30 17:41:16,67.667,12.6934,33.87,50,100,17.69
239,Puri,IN,2022-01-30 17:41:16,19.8,85.85,63.12,55,0,6.24
240,Chuy,UY,2022-01-30 17:41:17,-33.6971,-53.4616,79.32,54,98,12.62
241,Ugoofaaru,MV,2022-01-30 17:41:17,5.6667,73.0,81.52,77,57,14.23
242,Giyon,ET,2022-01-30 17:41:17,8.5333,37.9833,63.57,31,77,8.84
243,Delijan,IR,2022-01-30 17:41:17,33.9905,50.6838,37.56,32,0,3.47
244,Ahuimanu,US,2022-01-30 17:41:18,21.4447,-157.8378,73.45,72,75,1.01
245,Mar Del Plata,AR,2022-01-30 17:37:19,-38.0023,-57.5575,86.02,54,0,21.0
246,Labuan,MY,2022-01-30 17:41:18,5.2767,115.2417,77.36,94,20,0.0
247,Areka,ET,2022-01-30 17:41:18,7.0667,37.7,67.82,28,83,6.76
248,Geraldton,AU,2022-01-30 17:41:19,-28.7667,114.6,72.01,88,100,17.27
249,Opuwo,NA,2022-01-30 17:41:19,-18.0607,13.84,74.17,36,71,17.16
250,Gigmoto,PH,2022-01-30 17:41:19,13.7796,124.39,77.5,87,28,7.29
251,Durazno,UY,2022-01-30 17:41:20,-33.4131,-56.5006,84.74,30,0,7.96
252,Puerto Ayora,EC,2022-01-30 17:41:20,-0.7393,-90.3518,82.36,71,100,8.81
253,Lata,PT,2022-01-30 17:41:20,40.1629,-8.3327,61.21,49,88,2.21
254,Pokhara,NP,2022-01-30 17:41:20,28.2333,83.9833,50.63,79,90,0.56
255,Port Hedland,AU,2022-01-30 17:41:21,-20.3167,118.5667,82.45,83,40,17.27
256,Half Moon Bay,US,2022-01-30 17:41:21,37.4636,-122.4286,58.87,85,75,1.01
257,Tongchuan,CN,2022-01-30 17:39:54,35.0806,109.0897,20.88,51,0,3.96
258,Caravelas,BR,2022-01-30 17:41:21,-17.7125,-39.2481,86.79,62,77,12.48
259,Aketi,CD,2022-01-30 17:41:22,2.7388,23.7833,77.88,28,64,1.1
260,Medea,DZ,2022-01-30 17:41:22,36.2642,2.7539,45.05,36,0,2.84
261,Kokopo,PG,2022-01-30 17:41:22,-4.352,152.2633,76.51,84,72,4.12
262,Anjozorobe,MG,2022-01-30 17:41:22,-18.4,47.8667,70.12,95,13,5.75
263,Beyneu,KZ,2022-01-30 17:41:23,45.3167,55.2,33.17,76,98,14.14
264,Saskylakh,RU,2022-01-30 17:41:23,71.9167,114.0833,-19.21,100,100,2.86
265,Sola,VU,2022-01-30 17:41:23,-13.8833,167.55,79.79,83,100,16.67
266,Iskateley,RU,2022-01-30 17:41:23,67.6803,53.1512,12.31,92,100,13.62
267,Suleja,NG,2022-01-30 17:41:24,9.1758,7.1808,90.59,9,59,7.85
268,Lubango,AO,2022-01-30 17:41:24,-14.9172,13.4925,61.95,78,100,5.46
269,Oudtshoorn,ZA,2022-01-30 17:41:24,-33.5907,22.2014,66.56,67,93,6.22
270,Salzhemmendorf,DE,2022-01-30 17:41:25,52.067,9.5872,42.19,63,9,12.17
271,Djibo,BF,2022-01-30 17:41:25,14.1022,-1.6306,81.82,9,29,11.52
272,Zhoucheng,CN,2022-01-30 17:41:25,35.9122,116.3117,39.02,83,34,7.31
273,Khatanga,RU,2022-01-30 17:42:25,71.9667,102.5,-8.3,98,98,9.75
274,Abu Samrah,SY,2022-01-30 17:42:26,35.3029,37.1841,45.07,71,68,6.87
275,Micoud,LC,2022-01-30 17:42:26,13.8167,-60.9,84.4,61,40,21.85
276,Point Fortin,TT,2022-01-30 17:37:58,10.1833,-61.6833,84.13,68,43,4.36
277,Lida,BY,2022-01-30 17:39:01,53.8833,25.2997,30.92,96,100,19.55
278,Pangnirtung,CA,2022-01-30 17:42:26,66.1451,-65.7125,-18.4,57,75,0.0
279,Ambon,ID,2022-01-30 17:37:53,-3.6954,128.1814,80.74,78,40,4.61
280,Berlevag,NO,2022-01-30 17:42:27,70.8578,29.0864,32.0,78,97,21.39
281,Iwanai,JP,2022-01-30 17:42:27,42.9744,140.5089,19.04,68,100,9.84
282,Porirua,NZ,2022-01-30 17:42:27,-41.1333,174.85,58.42,90,33,4.9
283,Gravdal,NO,2022-01-30 17:42:28,68.1214,13.5031,33.69,80,75,18.41
284,Fuxin,CN,2022-01-30 17:42:28,42.0156,121.6589,17.8,50,57,2.91
285,Manokwari,ID,2022-01-30 17:42:28,-0.8667,134.0833,77.68,73,100,7.58
286,Hirara,JP,2022-01-30 17:42:28,24.8,125.2833,62.42,61,92,28.95
287,Morgan City,US,2022-01-30 17:42:29,29.6994,-91.2068,64.4,51,0,14.97
288,Port Blair,IN,2022-01-30 17:42:29,11.6667,92.75,73.44,83,20,1.14
289,Miramar,US,2022-01-30 17:42:29,25.9873,-80.2323,62.02,35,0,10.36
290,Coquimbo,CL,2022-01-30 17:42:29,-29.9533,-71.3436,69.53,60,0,14.97
291,Presidencia Roque Saenz Pena,AR,2022-01-30 17:42:30,-26.7852,-60.4388,101.68,11,0,6.08
292,Tabory,RU,2022-01-30 17:42:30,58.5198,64.5495,7.48,98,100,1.43
293,Ostrovnoy,RU,2022-01-30 17:40:45,68.0531,39.5131,2.64,97,91,8.1
294,Yerofey Pavlovich,RU,2022-01-30 17:42:30,53.9667,121.9667,-10.91,95,58,3.78
295,Mudgee,AU,2022-01-30 17:42:31,-32.5943,149.5871,69.85,83,75,3.44
