City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
185,Bambous Virieux,MU,-20.3428,57.7575,80.85,89,75,25.32,moderate rain
186,Cherskiy,RU,68.75,161.3,-28.19,99,32,0.98,scattered clouds
187,Ubinskoye,RU,55.3068,79.6802,4.28,95,95,7.7,overcast clouds
188,Diffa,NE,13.3154,12.6113,68.65,14,36,8.81,scattered clouds
189,Moron,AR,-34.6534,-58.6198,81.97,71,100,1.61,overcast clouds
190,Roald,NO,62.5833,6.1333,45.52,70,40,13.8,scattered clouds
191,Chara,RU,56.9064,118.2631,-22.72,89,82,0.72,broken clouds
192,Flin Flon,CA,54.7682,-101.865,-22.16,69,40,2.3,scattered clouds
193,Ustka,PL,54.5805,16.8619,37.49,95,100,13.4,light rain
194,Clarksburg,US,39.2807,-80.3445,54.3,100,100,4.61,moderate rain
195,Chuy,UY,-33.6971,-53.4616,86.58,56,47,9.93,scattered clouds
196,Clyde River,CA,70.4692,-68.5914,-12.77,77,100,27.63,heavy snow
197,Sheridan,US,44.8333,-106.9173,29.32,51,0,4.61,clear sky
198,Buckeye,US,33.3703,-112.5838,55.42,14,0,5.75,clear sky
199,Koungheul,SN,13.9833,-14.8,96.35,7,29,9.28,scattered clouds
200,Caconda,AO,-13.7333,15.0667,68.68,51,70,5.86,broken clouds
201,Tigil,RU,57.8,158.6667,-1.8,96,31,2.48,scattered clouds
202,Port Augusta,AU,-32.5,137.7667,59.7,59,0,8.81,clear sky
203,Hasaki,JP,35.7333,140.8333,32.4,49,86,14.56,overcast clouds
204,Pangnirtung,CA,66.1451,-65.7125,1.4,85,100,18.41,light snow
205,Lavrentiya,RU,65.5833,-171.0,-1.75,63,3,24.18,clear sky
206,Comal,US,29.8169,-98.3003,28.38,91,100,3.0,overcast clouds
207,Santa Marta,CO,11.2408,-74.199,85.89,67,4,15.26,clear sky
208,San Miguel,SV,13.4833,-88.1833,93.9,29,3,4.38,clear sky
209,Stephenville,US,32.2207,-98.2023,21.54,86,100,0.0,overcast clouds
210,Acarau,BR,-2.8856,-40.12,85.95,63,76,18.05,broken clouds
211,Mitu,CO,1.1983,-70.1733,77.16,92,80,2.57,broken clouds
212,Bang Saphan,TH,11.2126,99.5117,75.43,90,59,1.77,broken clouds
213,Tutoia,BR,-2.7619,-42.2744,89.58,67,79,12.5,broken clouds
214,Japura,ID,-0.3167,102.35,73.13,97,71,1.21,broken clouds
215,Gorom-Gorom,BF,14.4439,-0.2361,77.9,9,3,8.59,clear sky
216,Bontang,ID,0.1333,117.5,78.06,85,100,7.99,overcast clouds
217,Xining,CN,36.6167,101.7667,15.57,51,0,3.24,clear sky
218,Aketi,CD,2.7388,23.7833,80.64,34,99,1.74,overcast clouds
219,Abha,SA,18.2164,42.5053,57.45,88,0,4.61,clear sky
220,Haines Junction,CA,60.7522,-137.5108,-7.65,71,100,0.0,overcast clouds
221,Madhupur,IN,24.25,86.65,66.18,56,0,9.06,clear sky
222,Yulara,AU,-25.2406,130.9889,62.44,59,91,8.05,overcast clouds
223,Quelimane,MZ,-17.8786,36.8883,82.35,83,0,6.91,clear sky
224,Zhigansk,RU,66.7697,123.3711,-32.08,100,96,1.05,overcast clouds
225,Shahr-E Babak,IR,30.1165,55.1186,47.71,25,0,6.11,clear sky
226,Khani,GE,41.9563,42.9566,42.37,73,37,9.31,scattered clouds
227,Nuristan,AF,35.3,70.8333,-2.79,57,8,18.57,clear sky
228,Sorong,ID,-0.8833,131.25,80.42,78,100,4.5,overcast clouds
229,Jitra,MY,6.2681,100.4217,73.29,94,83,5.23,broken clouds
230,Vero Beach,US,27.6386,-80.3973,81.99,65,0,7.0,clear sky
231,Mount Isa,AU,-20.7333,139.5,73.17,40,100,13.8,overcast clouds
232,Zhuanghe,CN,39.7008,122.9911,15.37,71,3,7.81,clear sky
233,Mayo,US,38.8876,-76.5119,51.4,96,100,1.01,mist
234,Kruisfontein,ZA,-34.0033,24.7314,65.88,75,71,16.91,broken clouds
235,Qasigiannguit,GL,68.8193,-51.1922,17.85,65,100,13.31,overcast clouds
236,Vestmannaeyjar,IS,63.4427,-20.2734,25.79,80,0,17.27,clear sky
237,Jamame,SO,0.0722,42.7506,78.46,83,90,13.11,overcast clouds
238,Oblivskaya,RU,48.5362,42.5014,38.39,97,100,11.7,snow
239,Guatire,VE,10.4762,-66.5427,86.5,53,66,6.31,broken clouds
240,Castro,BR,-24.7911,-50.0119,75.09,78,76,3.67,broken clouds
241,Dingle,PH,10.9995,122.6711,75.09,94,79,8.3,broken clouds
242,Banjar,ID,-8.19,114.9675,78.66,87,79,5.35,broken clouds
243,Kodiak,US,57.79,-152.4072,38.71,93,100,17.27,light rain
244,Gazanjyk,TM,39.2446,55.5154,50.77,36,72,11.18,broken clouds
245,Te Anau,NZ,-45.4167,167.7167,47.25,97,100,3.56,moderate rain
246,Necochea,AR,-38.5473,-58.7368,78.04,53,100,13.85,light rain
247,Kundiawa,PG,-6.0167,144.9667,61.52,96,100,3.4,light rain
248,Dongsheng,CN,39.8161,109.9776,6.33,63,55,11.16,broken clouds
249,Catuday,PH,16.2923,119.8062,77.92,78,20,12.93,few clouds
250,Monrovia,LR,6.3005,-10.7969,87.57,72,5,10.45,clear sky
251,Bairiki,KI,1.3292,172.9752,80.6,94,75,5.75,light rain
252,Sinnamary,GF,5.3833,-52.95,79.48,81,43,11.1,scattered clouds
253,Ribeira Grande,PT,38.5167,-28.7,61.2,67,20,17.27,few clouds
254,Umtata,ZA,-31.5889,28.7844,66.76,94,75,5.75,moderate rain
255,Tasiilaq,GL,65.6145,-37.6368,14.16,58,56,7.31,broken clouds
256,Saint-Philippe,RE,-21.3585,55.7679,80.15,89,100,36.69,moderate rain
257,Viking,CA,53.1001,-111.7684,-2.47,92,100,10.78,overcast clouds
258,Nemuro,JP,43.3236,145.575,20.8,77,31,14.61,scattered clouds
259,Murray Bridge,AU,-35.1167,139.2667,59.49,73,0,9.4,clear sky
260,Diamantino,BR,-14.4086,-56.4461,85.5,60,82,8.88,light rain
261,Waingapu,ID,-9.6567,120.2641,78.87,84,99,10.63,overcast clouds
262,Avera,US,33.194,-82.5271,74.08,59,100,17.4,overcast clouds
263,Krasnoselkup,RU,65.7,82.4667,6.98,96,100,9.78,overcast clouds
264,Spirit River,CA,55.7833,-118.8361,-5.28,92,100,6.02,overcast clouds
265,Ayan,RU,56.45,138.1667,-3.03,71,100,15.99,overcast clouds
266,Umm Lajj,SA,25.0213,37.2685,70.43,57,4,3.6,clear sky
267,Vazhiny,RU,60.9644,34.0222,-8.39,100,89,0.38,overcast clouds
268,Richards Bay,ZA,-28.783,32.0377,79.38,88,2,7.38,clear sky
269,Skiathos,GR,39.1623,23.4909,44.69,64,97,24.11,overcast clouds
270,Yeppoon,AU,-23.1333,150.7333,76.78,91,100,4.65,overcast clouds
271,Kutum,SD,14.2,24.6667,69.4,13,20,14.56,few clouds
272,Husavik,IS,66.0449,-17.3389,17.51,86,100,16.62,light snow
273,Bud,US,39.447,-86.1758,24.24,94,100,18.43,snow
274,Zhaoyuan,CN,37.3592,120.3964,27.21,69,17,4.72,few clouds
275,Diapaga,BF,12.0708,1.7889,81.64,7,12,5.23,few clouds
276,Neiafu,TO,-18.65,-173.9833,80.31,83,100,24.92,light rain
277,Poya,NC,-21.35,165.15,78.39,86,95,1.74,light rain
278,Klyuchi,RU,52.2667,79.1667,2.17,98,93,6.46,overcast clouds
279,Port Hardy,CA,50.6996,-127.4199,42.76,93,100,13.8,light intensity drizzle
280,Havre-Saint-Pierre,CA,50.2334,-63.5986,30.56,86,100,26.46,overcast clouds
281,Boguchany,RU,58.3814,97.4531,-3.73,100,93,3.65,overcast clouds
282,Mahon,ES,39.8885,4.2658,55.96,94,0,8.05,clear sky
283,Fethiye,TR,36.6217,29.1164,46.27,77,98,4.99,overcast clouds
284,Sitka,US,57.0531,-135.33,37.29,93,100,6.91,light rain
285,Ahuimanu,US,21.4447,-157.8378,73.45,72,0,1.01,clear sky
286,Pisco,PE,-13.7,-76.2167,74.01,78,0,8.05,clear sky
287,Touros,BR,-5.1989,-35.4608,86.9,63,78,14.83,broken clouds
288,Tupik,RU,54.4253,119.9327,-20.67,97,46,3.09,scattered clouds
289,Vao,NC,-22.6667,167.4833,79.92,84,100,16.78,light rain
290,Havoysund,NO,70.9963,24.6622,25.03,76,100,14.34,overcast clouds
291,Abu Kamal,SY,34.4506,40.9171,55.15,33,24,15.73,few clouds
292,Nanakuli,US,21.3906,-158.1547,73.71,73,0,4.61,clear sky
293,Kholm-Zhirkovskiy,RU,55.5189,33.4731,17.91,97,97,6.69,overcast clouds
294,Zuenoula,CI,7.4292,-6.0431,88.61,11,1,3.29,clear sky
295,Alappuzha,IN,9.49,76.3264,78.62,78,9,3.4,clear sky
