City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
468,Kyaikkami,MM,77.4,clear sky,16.08,97.5675,St. joseph catholic church
472,Masoyila,SL,84.22,haze,8.6097,-13.19,Royal Buckingham
473,Rey Bouba,CM,80.11,clear sky,8.6724,14.1786,
474,Pedasi,PA,82.31,scattered clouds,7.5333,-80.0333,Selina Pedasi
476,Merauke,ID,78.66,overcast clouds,-8.4667,140.3333,
479,Ambovombe,MG,75.09,clear sky,-25.1667,46.0833,RELAHARA
480,Lazaro Cardenas,MX,81.57,clear sky,17.9583,-102.2,quinta antigua
481,Abakaliki,NG,89.13,scattered clouds,6.3163,8.1169,Grande Vitesse Apartments and Hotels
484,Puerto Baquerizo Moreno,EC,83.39,few clouds,-0.9,-89.6,Hotel los Algarrobos
487,Vilhena,BR,77.22,scattered clouds,-12.7406,-60.1458,Hotel Mirage
494,Kalmunai,LK,75.49,clear sky,7.4167,81.8167,VS Villa
500,Roebourne,AU,83.52,overcast clouds,-20.7833,117.1333,Latitude20 Roebourne Village
501,Cabedelo,BR,84.87,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
502,Sao Gabriel Da Cachoeira,BR,84.0,scattered clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
504,Inhambane,MZ,82.38,few clouds,-23.865,35.3833,Oceano
509,Quatre Cocos,MU,80.71,moderate rain,-20.2078,57.7625,Sunrise Attitude Hotel
519,Kourou,GF,78.85,light rain,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
522,Grand-Lahou,CI,82.54,few clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
524,Luganville,VU,78.58,moderate rain,-15.5333,167.1667,The Espiritu Hotel
526,West Bay,KY,85.06,light rain,19.3667,-81.4167,Calypso Cove
531,Buchanan,LR,87.76,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
536,Cuamba,MZ,75.7,broken clouds,-14.8031,36.5372,Hotel Vision
539,Edgewater,US,83.25,scattered clouds,28.9889,-80.9023,Islander Beach Resort
543,Mitsamiouli,KM,82.69,few clouds,-11.3847,43.2844,Foyer ADM
544,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
548,Dillon,US,75.36,overcast clouds,34.4166,-79.3712,Dillon Express Inn
550,Road Town,VG,82.44,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
552,Celestun,MX,85.59,clear sky,20.8667,-90.4,Posada Lilia
553,Isangel,VU,79.11,overcast clouds,-19.55,169.2667,Tanna Lodge
564,Howard Springs,AU,78.71,overcast clouds,-12.497,131.047,buffalo beach hostel
574,Kununurra,AU,78.78,overcast clouds,-15.7667,128.7333,Hotel Kununurra
582,Iquitos,PE,77.04,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
584,Lat Yao,TH,81.52,few clouds,15.751,99.7893,โรงแรมสอระ
585,Segou,ML,84.31,clear sky,13.4317,-6.2157,Comme chez soi
588,Luangwa,ZM,77.27,broken clouds,-15.6167,30.4167,Gerasimos Safari Lodge
589,Atar,MR,84.16,clear sky,20.5169,-13.0499,Oumou Elghoura
592,Ca Mau,VN,76.82,few clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
613,Chiredzi,ZW,82.65,clear sky,-21.05,31.6667,Clevers Hotel Chiredzi
617,Pandan,PH,76.98,overcast clouds,14.0453,124.1694,Bonifacio Lodge
618,Coruripe,BR,85.17,light rain,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
620,Natal,BR,88.02,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
623,Fort Wellington,GY,83.55,few clouds,6.4,-57.6,TE'AMO Entertainment Park
624,Isla Mujeres,MX,84.25,few clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
627,Sechura,PE,83.71,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
629,The Valley,AI,81.1,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
631,Tagusao,PH,78.06,few clouds,9.1924,117.8141,Green Villa beach resort
637,Kloulklubed,PW,82.96,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
638,Grand Gaube,MU,81.0,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
647,Thohoyandou,ZA,78.75,clear sky,-22.9456,30.485,Masili Guesthouse & Conference
650,Beira,MZ,82.49,few clouds,-19.8436,34.8389,Beira Terrace Hotel
651,Khartoum,SD,80.02,overcast clouds,15.5518,32.5324,Hotel China
653,Amarante Do Maranhao,BR,85.93,overcast clouds,-5.5667,-46.7422,Hotéis Caçulinha
654,Araguaina,BR,83.61,broken clouds,-7.1911,-48.2072,Hotel São Vicente
658,Boyolangu,ID,76.37,overcast clouds,-8.1181,111.8935,Yos ega cv
665,Ilhabela,BR,79.05,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
667,Mananjary,MG,75.92,moderate rain,-21.2167,48.3333,Vahiny Lodge
